audience_id,audience_name,audience_type,type,category,parent,source,updated_at
"4575649","アイルランドへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4575769","イギリス、ロンドンへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅 > イギリスへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4575889","マドリッドへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅 > スペインへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4576009","モスクワへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4576129","パリへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅 > フランスへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4576249","プラハへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4576369","ローマへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅 > イタリアへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4576489","トルコへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ヨーロッパへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4576609","ブエノスアイレスへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ラテンアメリカへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4576729","カリブ諸国への旅","IN_MARKET","in_market","旅行","旅（目的地別）> ラテンアメリカへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4576849","コスタリカへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ラテンアメリカへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4576969","メキシコへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ラテンアメリカへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4577089","リオデジャネイロへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ラテンアメリカへの旅 > ブラジルへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4577209","サンパウロへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> ラテンアメリカへの旅 > ブラジルへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4577329","エジプトへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> 中東、アフリカへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4577449","イスラエルへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> 中東、アフリカへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
